,NM_MUNICIPIO,DS_CARGO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
2482,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,53,EMEF. JACOUB KOUKDJIAN
5484,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EMEF. BARIGUI
5997,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,46,EMEF. PROF. PEDRO FERNANDES DANTE
8464,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,55,EMEF SIRANA KOUKDJIAN
8990,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,10,EMEF. TONICO SILVA
8992,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,6,EMEF. BARIGUI
8994,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,5,EMEF SIRANA KOUKDJIAN
9021,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,16,EE. PROF. ARACY DA SILVA FREITAS
9974,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,60,EMEF SIRANA KOUKDJIAN
9975,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,78,EE. PROF. AIDA LEDA BAUER DAVIES
9976,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,61,EMEF. JACOUB KOUKDJIAN
9977,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,73,EMEIEF. PEQUENO PRÍNCIPE
9978,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,65,EMEF. JACOUB KOUKDJIAN
10484,MONGAGUÁ,Vereador,GILBERTO GUEDES DO NASCIMENTO,1,EMEF SIRANA KOUKDJIAN
12026,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,70,EMEF SIRANA KOUKDJIAN
12030,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,131,EMEF. FLÓRIDA MIRIM
12031,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,53,EMEIEF CLAUDIA MARIA ANDRELLA
12032,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,55,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
13024,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EMEF. TONICO SILVA
13028,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,3,EMEF SIRANA KOUKDJIAN
13481,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EE. PROF. ARACY DA SILVA FREITAS
13491,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,15,EMEF. TONICO SILVA
13495,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEF. BARIGUI
13498,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,13,EMEF SIRANA KOUKDJIAN
13510,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,22,EE. PROF. ARACY DA SILVA FREITAS
13999,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. TONICO SILVA
14001,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF SIRANA KOUKDJIAN
14010,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,3,EMEIEF SÍTIO DO PICA PAU AMARELO
14036,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,64,EMEIEF CLAUDIA MARIA ANDRELLA
14037,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,71,EMEF. IVONE DE ALMEIDA MONTEIRO
14038,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,58,EMEF. BARIGUI
14039,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,85,EMEF. IVONE DE ALMEIDA MONTEIRO
16512,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,61,EMEF. PREFEITO CASSIMIRO CORREA NETO
16516,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,45,EMEF. PROF. PEDRO FERNANDES DANTE
17005,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,1,EMEIEF. PEQUENO PRÍNCIPE
18516,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,82,EE. PROF. ARACY DA SILVA FREITAS
18517,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,92,EE. PROF. ARACY DA SILVA FREITAS
18523,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,49,EMEIEF CLAUDIA MARIA ANDRELLA
18998,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EMEF. TONICO SILVA
18999,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,4,EMEF. BARIGUI
19000,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,4,EMEF SIRANA KOUKDJIAN
19007,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,3,EE. PROF. ARACY DA SILVA FREITAS
20039,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,73,EMEF VEREADOR GIVALDO ALVES GOMES
22018,MONGAGUÁ,Vereador,ALEXANDRE NADDEO,1,EMEIEF SÍTIO DO PICA PAU AMARELO
22068,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,69,EMEF. FLÓRIDA MIRIM
22069,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,107,EMEF. JACOUB KOUKDJIAN
24040,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,87,EE. PROF. ARACY DA SILVA FREITAS
24042,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,72,EMEIEF. PROF. CÉLIA PUPO DE JESUS
