NM_LOCAL_VOTACAO,NM_VOTAVEL,QT_VOTOS
1.Loty até Agenor,ANTONIO TIMÓTEO DE ANDRADE,123
1.Loty até Agenor,MARCELO DOS SANTOS CONCEIÇÃO,138
1.Loty até Agenor,MÁRCIO MELO GOMES,4722
1.Loty até Agenor,RENATO CARVALHO DONATO,1284
1.Loty até Agenor,RODRIGO CARDOSO BIAGIONI,3899
1.Loty até Agenor,VOTO BRANCO,420
1.Loty até Agenor,VOTO NULO,600
2.Jussara até Itaoca,ANTONIO TIMÓTEO DE ANDRADE,49
2.Jussara até Itaoca,MARCELO DOS SANTOS CONCEIÇÃO,33
2.Jussara até Itaoca,MÁRCIO MELO GOMES,1111
2.Jussara até Itaoca,RENATO CARVALHO DONATO,358
2.Jussara até Itaoca,RODRIGO CARDOSO BIAGIONI,941
2.Jussara até Itaoca,VOTO BRANCO,126
2.Jussara até Itaoca,VOTO NULO,174
3.Santa Eugenia até Seabra,ANTONIO TIMÓTEO DE ANDRADE,31
3.Santa Eugenia até Seabra,MARCELO DOS SANTOS CONCEIÇÃO,32
3.Santa Eugenia até Seabra,MÁRCIO MELO GOMES,1766
3.Santa Eugenia até Seabra,RENATO CARVALHO DONATO,526
3.Santa Eugenia até Seabra,RODRIGO CARDOSO BIAGIONI,1813
3.Santa Eugenia até Seabra,VOTO BRANCO,139
3.Santa Eugenia até Seabra,VOTO NULO,224
4.Atlantica até Aguapeu,ANTONIO TIMÓTEO DE ANDRADE,56
4.Atlantica até Aguapeu,MARCELO DOS SANTOS CONCEIÇÃO,55
4.Atlantica até Aguapeu,MÁRCIO MELO GOMES,3600
4.Atlantica até Aguapeu,RENATO CARVALHO DONATO,894
4.Atlantica até Aguapeu,RODRIGO CARDOSO BIAGIONI,3440
4.Atlantica até Aguapeu,VOTO BRANCO,225
4.Atlantica até Aguapeu,VOTO NULO,417
5.Samoa até a Divisa,ANTONIO TIMÓTEO DE ANDRADE,61
5.Samoa até a Divisa,MARCELO DOS SANTOS CONCEIÇÃO,38
5.Samoa até a Divisa,MÁRCIO MELO GOMES,2847
5.Samoa até a Divisa,RENATO CARVALHO DONATO,813
5.Samoa até a Divisa,RODRIGO CARDOSO BIAGIONI,2247
5.Samoa até a Divisa,VOTO BRANCO,146
5.Samoa até a Divisa,VOTO NULO,263
