NM_LOCAL_VOTACAO,NM_VOTAVEL,QT_VOTOS
1.Loty até Agenor,ABNER ALMEIDA BEZERRA,47
1.Loty até Agenor,ABRAÃO GONÇALVES,12
1.Loty até Agenor,ADEILSON JOSE DA SILVA,327
1.Loty até Agenor,ADEILTON SANTIAGO,1
1.Loty até Agenor,ADEMILSON APARECIDO VIEIRA,133
1.Loty até Agenor,ADRIANA APARECIDA DE ALMEIDA POSSI,4
1.Loty até Agenor,ADRIANA DE ALENCAR,1
1.Loty até Agenor,ADRIANO DA SILVA JORGE,10
1.Loty até Agenor,AGILENE DA SILVA,12
1.Loty até Agenor,AGIR,1
1.Loty até Agenor,ALBERTO PEREIRA DE SANTANA,20
1.Loty até Agenor,ALDENI DOS SANTOS COSTA,62
1.Loty até Agenor,ALESSANDRA CRISTINA FANTE,14
1.Loty até Agenor,ALEX GONÇALVES DE ARAÚJO,18
1.Loty até Agenor,ALEX MARCELO DOS SANTOS,153
1.Loty até Agenor,ALEXANDRE DA SILVA GUERRA,41
1.Loty até Agenor,ALEXANDRE MONTEIRO DA SILVA,40
1.Loty até Agenor,ALEXANDRE NADDEO,1
1.Loty até Agenor,ALINE CRISTINA SOUZA LIMA OTÁVIO,11
1.Loty até Agenor,ALINI ARAUJO ONORIO,35
1.Loty até Agenor,ANA GLAUCIA DOS SANTOS,2
1.Loty até Agenor,ANDERSON GONÇALVES DA ROCHA,30
1.Loty até Agenor,ANDERSON LUIZ DE OLIVEIRA,269
1.Loty até Agenor,ANDRE DA SILVA ROCHA,358
1.Loty até Agenor,ANDREA MENDES SALVINO,16
1.Loty até Agenor,ANDRÉA APARECIDA INDRIGO,1
1.Loty até Agenor,ANGELA MARIA DA SILVA,5
1.Loty até Agenor,ANGELA REGINA DIAS DAMIÃO,10
1.Loty até Agenor,ANTÔNIO BATISTA HILARIO,1
1.Loty até Agenor,ANTÔNIO MARCOS PEREIRA DE MENDONÇA,3
1.Loty até Agenor,APARECIDO SANTANA DA SILVA,94
1.Loty até Agenor,ARGEO ARIAS RODRIGUES FILHO,38
1.Loty até Agenor,ARILEIA CHAVES SANTANA,2
1.Loty até Agenor,AUREO TADEUS DA SILVA,307
1.Loty até Agenor,AURIVALDO JOSE DOS SANTOS,66
1.Loty até Agenor,BALDUINO RODRIGUES DINIZ,153
1.Loty até Agenor,CARLOS EDUARDO HUBNER DE OLIVEIRA,86
1.Loty até Agenor,CARLOS EDUARDO VENANCIO PIRES DE MAGALHÃES,31
1.Loty até Agenor,CARLOS JACÓ ROCHA,231
1.Loty até Agenor,CARLOS NOGUEIRA DA SILVA,31
1.Loty até Agenor,CELSO LUIZ GONZAGA,5
1.Loty até Agenor,CIBELE FRANCO NAZARETH,10
1.Loty até Agenor,CLAUDETE BATISTA DE SOUZA,17
1.Loty até Agenor,CLAUDIA APARECIDA DIAS,8
1.Loty até Agenor,CLAUDIA GREGÓRIO DA CRUZ,9
1.Loty até Agenor,CLAUDIA LUCIANA DA SILVA MINEIRO MUNIZ,20
1.Loty até Agenor,CYNTHIA FERNANDA MOTA,2
1.Loty até Agenor,Cidadania,4
1.Loty até Agenor,DAIANA CRISTINA FRANZEM ANDRELO,21
1.Loty até Agenor,DANIEL SOARES DA SILVA,321
1.Loty até Agenor,DAVID JOSÉ DOS SANTOS,4
1.Loty até Agenor,DIEGO MARTINS DOMINGUES,231
1.Loty até Agenor,DIEGO ROBERTO ALVES SAES,194
1.Loty até Agenor,DURVALENO DEUSDARA BRITO,7
1.Loty até Agenor,Democracia Cristã,2
1.Loty até Agenor,EDICARLOS FELISMINO,134
1.Loty até Agenor,EDILSON TONON D ALMEIDA,297
1.Loty até Agenor,EDIMILSON JOAQUIM JUSTINIANO,76
1.Loty até Agenor,EDSON NASCIMENTO DA HORA JUNIOR,1
1.Loty até Agenor,EDUARDO ALVES MENNUCCI,28
1.Loty até Agenor,EDUARDO DA SILVA DUARTE,23
1.Loty até Agenor,EDUARDO SANTANA ROQUE DA SILVA,574
1.Loty até Agenor,ELAINE ALVES DE ARRUDA,6
1.Loty até Agenor,ELI DE SOUZA SILVA,109
1.Loty até Agenor,ELIANE MARÇAL LOPES,56
1.Loty até Agenor,ELISEU MARTINS DE JESUS GOMES,78
1.Loty até Agenor,FABIO DO CARMO CEZAR,40
1.Loty até Agenor,FABIO RIBEIRO ARENA,150
1.Loty até Agenor,FERNANDA RAMIRES KLAESENER,10
1.Loty até Agenor,FERNANDO ACCIOLY MONTEIRO DE ALCANTARA,38
1.Loty até Agenor,FLAVIO ELEANDRO SANTANA PASSOS,18
1.Loty até Agenor,FRANCISCA AUDIRENE ROCHA PORTELA,45
1.Loty até Agenor,FRANCISCA ELIAS DA SILVA,4
1.Loty até Agenor,FRANCISCO DOUGLAS SANTOS CAMPOS,26
1.Loty até Agenor,FRANCISCO FRAGOSO,142
1.Loty até Agenor,FRANCISCO INALDO FALCÃO,7
1.Loty até Agenor,FRANCISCO LIMA DE MENDONÇA,24
1.Loty até Agenor,GABRIELLA TAVARES DE LIMA LELLIS E SILVA,60
1.Loty até Agenor,GABRIELLY MALGUEIRO LOPEZ VAZ,3
1.Loty até Agenor,GEOVANA CRISTINA SALES DE LIMA,102
1.Loty até Agenor,GILMAR AGUIAR FREITAS,52
1.Loty até Agenor,GILVAN NUNES SOARES,3
1.Loty até Agenor,GLIMBER MATTOS DE CARVALHO,30
1.Loty até Agenor,GRAZIELA APARECIDA ROSA DE OLIVEIRA,10
1.Loty até Agenor,GUSTAVO RIBEIRO CORREIA,43
