,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
1847,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,13,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
4488,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. REGINA MARIA
4986,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
5748,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EMEF. PREFEITO CASSIMIRO CORREA NETO
5940,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEIEF. PEQUENO PRÍNCIPE
6536,MONGAGUÁ,CARLOS JACO ROCHA,3,EMEF. REGINA MARIA
15413,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,6,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
19179,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
22756,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,3,EMEF. VERA CRUZ
22773,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,1,EMEF SIRANA KOUKDJIAN
24301,MONGAGUÁ,JOSÉ PEDRO FACCINA,5,EE. AGENOR DE CAMPOS
24350,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
25816,MONGAGUÁ,JOSÉ PEDRO FACCINA,6,EE. AGENOR DE CAMPOS
27320,MONGAGUÁ,GUSTAVO TOZI DA SILVA,1,EMEF. JACOUB KOUKDJIAN
27489,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
28756,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,1,EE. PROF. ARACY DA SILVA FREITAS
29189,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EMEF. PROF. PEDRO FERNANDES DANTE
29415,MONGAGUÁ,MARCIO ROBERTO DANTAS ALVES,4,EMEF SIRANA KOUKDJIAN
32677,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
32809,MONGAGUÁ,DIEGO PINHEIRO DE ALMEIDA,1,EE. AGENOR DE CAMPOS
32819,MONGAGUÁ,BALBINO FERREIRA DE JESUS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
33291,MONGAGUÁ,VALTER CASSIMIRO DA CRUZ,1,EE. AGENOR DE CAMPOS
33984,MONGAGUÁ,EDUARDO ALVES MENNUCCI,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
34166,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,6,EMEF. IVONE DE ALMEIDA MONTEIRO
34313,MONGAGUÁ,VALTER CASSIMIRO DA CRUZ,2,EE. AGENOR DE CAMPOS
34975,MONGAGUÁ,EDUARDO ALVES MENNUCCI,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
35292,MONGAGUÁ,JOSÉ PEDRO FACCINA,2,EE. PROF. ARACY DA SILVA FREITAS
35832,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
36289,MONGAGUÁ,JOSÉ PEDRO FACCINA,2,EE. PROF. ARACY DA SILVA FREITAS
37225,MONGAGUÁ,IVANALDO SANTANA DIAS,3,EMEF. IVONE DE ALMEIDA MONTEIRO
37379,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
39699,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EE. AGENOR DE CAMPOS
40372,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. BARIGUI
40645,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EE. PROF. AIDA LEDA BAUER DAVIES
41351,MONGAGUÁ,VALTER CASSIMIRO DA CRUZ,1,EE. AGENOR DE CAMPOS
43376,MONGAGUÁ,JOSÉ PEDRO FACCINA,7,EE. AGENOR DE CAMPOS
43505,MONGAGUÁ,JOSÉ PEDRO FACCINA,3,EMEIEF. PEQUENO PRÍNCIPE
44012,MONGAGUÁ,MARIA MADALENA BRITO GOMES,1,EMEF. VERA CRUZ
44210,MONGAGUÁ,JOSIVALDO DE ALCANTARA,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
44364,MONGAGUÁ,VALTER CASSIMIRO DA CRUZ,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
45525,MONGAGUÁ,MARIA MADALENA BRITO GOMES,5,EMEIEF. PEQUENO PRÍNCIPE
45984,MONGAGUÁ,VANELITO DE JESUS,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
46174,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EMEF. IVONE DE ALMEIDA MONTEIRO
46701,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,7,EMEF. TONICO SILVA
47220,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EE. AGENOR DE CAMPOS
47726,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEF. VERA CRUZ
48980,MONGAGUÁ,SÉRGIO MARTINS DA SILVA,1,EMEF. VERA CRUZ
49271,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EMEIEF. PEQUENO PRÍNCIPE
49401,MONGAGUÁ,JOSÉ PEDRO FACCINA,3,EMEF. PREFEITO CASSIMIRO CORREA NETO
49733,MONGAGUÁ,ANA PAULA DE FREITAS MIRANDA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
49735,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
51228,MONGAGUÁ,JOSIVALDO DE ALCANTARA,4,EMEF. VERA CRUZ
54207,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,4,EE. PROF. ARACY DA SILVA FREITAS
55407,MONGAGUÁ,GILSON PEREIRA DA SILVA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
83644,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EMEF. VERA CRUZ
83706,MONGAGUÁ,FERNANDO FELIZI,5,EMEF. TONICO SILVA
86183,MONGAGUÁ,FERNANDO FELIZI,3,EMEF. JACOUB KOUKDJIAN
89669,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,10,EMEF. BARIGUI
90519,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,1,EE. AGENOR DE CAMPOS
91012,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,4,EE. PROF. AIDA LEDA BAUER DAVIES
91327,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,6,EMEF. REGINA MARIA
91362,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEIEF. PEQUENO PRÍNCIPE
95051,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
96045,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EMEF. TONICO SILVA
97208,MONGAGUÁ,IVAN BISPO DOS SANTOS,3,EMEIEF. PEQUENO PRÍNCIPE
98196,MONGAGUÁ,JOSIVALDO DE ALCANTARA,6,EMEF. IVONE DE ALMEIDA MONTEIRO
